,주야간,구,노면상태,기상상태,주야간_risk,구_risk,노면상태_risk,기상상태_risk,total_risk,corr_risk,주야간_eclo,구_eclo,노면상태_eclo,기상상태_eclo,eclo_risk_sum,eclo_risk_mul
39,야간,장안구,건조,비,1.0,2.0,5.0,4.0,12.0,18.593867508000947,4.488599348534202,4.474332648870637,4.444769140853302,4.798319327731092,30.206020465989234,54.85438766146636
40,주간,팔달구,건조,눈,2.0,3.0,5.0,2.0,12.0,18.0777541406683,4.476795931341386,4.363636363636363,4.444769140853302,3.5714285714285716,28.856630007259625,51.41120380071552
41,주간,권선구,건조,기타,2.0,4.0,5.0,1.0,12.0,17.95146274613557,4.476795931341386,4.588550983899821,4.444769140853302,4.833333333333333,30.343449389427843,54.3649748358819
42,주간,영통구,젖음/습기,맑음,2.0,1.0,4.0,5.0,12.0,18.33033692973376,4.476795931341386,4.492957746478873,4.841059602649007,4.460807600950119,30.271620881419384,55.11482602450827
43,야간,권선구,기타,맑음,1.0,4.0,2.0,5.0,12.0,18.341284718935487,4.488599348534202,4.588550983899821,4.666666666666667,4.460807600950119,30.20462460005081,54.48017462221741
44,주간,권선구,젖음/습기,눈,2.0,4.0,4.0,2.0,12.0,17.95146274613557,4.476795931341386,4.588550983899821,4.841059602649007,3.5714285714285716,29.477835089318788,53.814891351735234
45,야간,권선구,젖음/습기,흐림,1.0,4.0,4.0,3.0,12.0,18.341284718935487,4.488599348534202,4.588550983899821,4.841059602649007,4.421875,30.34008493508303,55.47266669472951
46,야간,권선구,서리/결빙,비,1.0,4.0,3.0,4.0,12.0,18.341284718935487,4.488599348534202,4.588550983899821,4.875,4.798319327731092,30.750469660165116,56.661080595057854
47,야간,팔달구,서리/결빙,맑음,1.0,3.0,3.0,5.0,12.0,18.46757611346822,4.488599348534202,4.363636363636363,4.875,4.460807600950119,30.188043313120684,54.50854644419388
48,주간,장안구,건조,흐림,2.0,2.0,5.0,3.0,12.0,18.204045535201036,4.476795931341386,4.474332648870637,4.444769140853302,4.421875,29.817772721065325,53.39172786469056
49,주간,장안구,젖음/습기,비,2.0,2.0,4.0,4.0,12.0,18.204045535201036,4.476795931341386,4.474332648870637,4.841059602649007,4.798319327731092,30.590507510592122,56.459772881944446
50,주간,권선구,서리/결빙,흐림,2.0,4.0,3.0,3.0,12.0,17.95146274613557,4.476795931341386,4.588550983899821,4.875,4.421875,30.362221915241207,55.19842079828206
51,주간,장안구,서리/결빙,맑음,2.0,2.0,3.0,5.0,12.0,18.204045535201036,4.476795931341386,4.474332648870637,4.875,4.460807600950119,30.28693618116214,54.83129516517464
52,야간,팔달구,젖음/습기,비,1.0,3.0,4.0,4.0,12.0,18.46757611346822,4.488599348534202,4.363636363636363,4.841059602649007,4.798319327731092,30.491614642550665,56.13702416096369
53,야간,영통구,건조,맑음,1.0,1.0,5.0,5.0,12.0,18.72015890253368,4.488599348534202,4.492957746478873,4.444769140853302,4.460807600950119,29.887133836816496,53.509440804030184
54,주간,권선구,적설,비,2.0,4.0,1.0,4.0,11.0,16.348440056980042,4.476795931341386,4.588550983899821,4.25,4.798319327731092,29.1136662429723,50.75107310920643
55,야간,장안구,건조,흐림,1.0,2.0,5.0,3.0,11.0,16.99084481884542,4.488599348534202,4.474332648870637,4.444769140853302,4.421875,28.82957613825814,48.92673535054199
56,주간,영통구,건조,흐림,2.0,1.0,5.0,3.0,11.0,16.727314240578234,4.476795931341386,4.492957746478873,4.444769140853302,4.421875,28.83639781867356,48.93602031342816
57,주간,장안구,젖음/습기,흐림,2.0,2.0,4.0,3.0,11.0,16.601022846045506,4.476795931341386,4.474332648870637,4.841059602649007,4.421875,29.21406318286103,50.53212057102007
58,주간,영통구,서리/결빙,맑음,2.0,1.0,3.0,5.0,11.0,16.727314240578234,4.476795931341386,4.492957746478873,4.875,4.460807600950119,29.305561278770377,50.375587613912245
59,야간,영통구,건조,비,1.0,1.0,5.0,4.0,11.0,17.117136213378153,4.488599348534202,4.492957746478873,4.444769140853302,4.798319327731092,29.22464556359747,50.398680110203955
60,야간,권선구,적설,맑음,1.0,4.0,1.0,5.0,11.0,16.73826202977996,4.488599348534202,4.588550983899821,4.25,4.460807600950119,28.787957933384142,49.396841288884076
61,야간,권선구,기타,비,1.0,4.0,2.0,4.0,11.0,16.73826202977996,4.488599348534202,4.588550983899821,4.666666666666667,4.798319327731092,29.542136326831784,51.36941392839118
