,구,동,주야간,노면상태,기상상태,동_risk,주야간_risk,노면상태_risk,기상상태_risk,total_risk,corr_risk
283,영통구,이의동,야간,서리/결빙,맑음,47.0,1.0,3.0,5.0,56.0,103.34609282995224
284,영통구,영통동,주간,건조,맑음,44.0,2.0,5.0,5.0,56.0,100.58157163734175
285,영통구,이의동,야간,건조,흐림,47.0,1.0,5.0,3.0,56.0,103.34609282995225
286,팔달구,매산로1가,주간,젖음/습기,비,46.0,2.0,4.0,4.0,56.0,102.38613314964348
287,영통구,매탄동,주간,건조,비,45.0,2.0,5.0,4.0,56.0,101.48385239349261
288,팔달구,매산로1가,야간,젖음/습기,맑음,46.0,1.0,4.0,5.0,56.0,102.44381207380138
289,영통구,매탄동,주간,젖음/습기,맑음,45.0,2.0,4.0,5.0,56.0,101.48385239349261
290,영통구,매탄동,야간,건조,맑음,45.0,1.0,5.0,5.0,56.0,101.54153131765051
291,영통구,이의동,주간,기타,맑음,47.0,2.0,2.0,5.0,56.0,103.28841390579436
292,장안구,영화동,주간,적설,눈,51.0,2.0,1.0,2.0,56.0,106.89753693039785
293,팔달구,우만동,주간,적설,흐림,50.0,2.0,1.0,3.0,56.0,105.99525617424698
294,권선구,세류동,야간,적설,맑음,49.0,1.0,1.0,5.0,56.0,105.150654342254
